,Demographics of the United Kingdom,Demographics of the United Kingdom.1
0,Population pyramid in 2020,Population pyramid in 2020
1,Population,"67,081,234 (30 June 2020)[1]"
2,Density,270/km2 (700/sq mi) (2020 census)
3,Growth rate,0.53% (2022 est.)
4,Birth rate,"10.2 per 1,000 (2020)"
5,Death rate,"10.3 per 1,000 (2020)"
6,Life expectancy,81 years (2010–2015)
7,• male,79.04 years of age (2018–2020)
8,• female,82.86 years of age (2018–2020)
9,Fertility rate,1.61 (2021)
10,Infant mortality rate,"3.82 deaths/1,000 live births (2022)"
11,Net migration rate,"3.59 migrant(s)/1,000 population (2022 est.)"
12,Age structure,Age structure
13,0–14 years,17.0%
14,15–64 years,58.5%
15,65 and over,20.5%
16,Sex ratio,Sex ratio
17,At birth,1.05 male(s)/female
18,Under 15,1.05 male(s)/female (2022)
19,65 and over,0.73 male(s)/female (2022)
20,Nationality,Nationality
21,Nationality,British
22,Major ethnic,White: 87.17% White British: 81.88% (2011)
23,Minor ethnic,Asian British: (6.3%) Black British: (3.0%) British Mixed: (2.0%) Other: (0.9%)
24,Language,Language
25,Spoken,British English
